,names_all,name_index,match,Cluster
0, Alfagomma,0,[143],0
1, CONTITECH TRANSPORTBANDSYSTEME GMBH,1,[3294],1
2, LANXESS Inc.,2,[9317],2
3, Lanxess AG,3,[9317],2
4, Lanxess Accounting GmbH,4,[9317],2
5," Lanxess Chemical (China) Co., Ltd.",5,[9317],2
6, Lanxess Hong Kong Limited,6,[9317],2
7," Lanxess International Trading (Shanghai) Co., Ltd.",7,[9317],2
8, Lanxess Manufacturing Netherlands B.V.,8,[9317],2
9, Lanxess Sas,9,[9317],2
10, SO.F.TER. SPA,10,[14657],3
11," TOTAL OIL INDIA PRIVATE LIMITED,  TOTAL",11,"[8716, 13238, 18020, 3650, 8752, 11918, 11147, 16275, 15446, 10273, 4404, 2440, 17419, 1539, 11141, 5588, 18019, 13247, 17859, 15432, 7893, 8128, 15945, 8770, 3921, 4572, 2173, 12994, 6521, 16993, 5041, 7778, 5162, 1529, 4579, 6847, 7169, 1537, 11357, 14744, 7727, 2437, 17896, 7820, 15049, 6561, 15433, 1413, 1542, 7173, 16959, 17850, 109, 15455, 4120, 11591, 11380, 5786, 139, 8600, 18011, 2674, 161, 2449, 2447, 13211, 1997, 15453, 17858, 8672, 16956, 156, 4754, 17862, 8265, 17853, 15881, 14507, 16942, 3757, 11438, 1558, 16136, 6784, 7190, 2426, 5783, 11133, 17644, 13246, 7134, 17935, 13346, 7818, 742, 1053, 7779, 9500, 135, 13260, 776, 16766, 147, 16648, 165, 1518, 10031, 16422, 12779, 15445, 13261, 2699, 8454, 4571, 14756, 14738, 6574, 15610, 4581, 11142, 12947]",4
12,"'Hengshui Mechanical & Electrical Building Co.,Ltd.'",12,[6790],5
13,(Camso Loadstar ( Pivt ) Ltd.),13,"[3133, 13397, 13167, 2517, 10429, 14954, 7223, 3644, 13162, 4461, 1217]",6
14,"*** ООО ""ИНТЕРСВЕТ""",14,[13227],7
15,"*** ООО ""ИнтерТорг""",15,[13229],8
16,"*** ООО ""ИнтерТулз""",16,[13227],7
17,"*** ООО ""Интербалк""",17,[13227],7
18,"*** ООО ""САТО""",18,[13217],9
19,"*** ПОЛИМАРКЕТ, ООО",19,[17926],4
20,1 4103412224 Tel Ex 1 410341 23,20,"[14636, 5098, 16119, 9867, 8924, 1414, 1965, 17079, 8843, 8161, 10107, 3088, 10574, 1616, 9868, 11950, 16558, 16961, 6681, 4906, 13057, 15798, 14776, 11865, 8461, 3217, 8712, 10657, 14634, 10126, 3902, 2852, 16877, 16627, 16522, 15660, 7024, 8156, 7083, 3233, 12447, 16902, 2579, 1645, 236, 2734, 7838, 935, 2255, 2727, 2955, 15468, 16227, 5869, 1812, 16272, 837, 1628, 8162, 15079, 4829, 17263, 2890, 14478, 11832, 10851, 6605, 3831, 4798, 7000, 3323, 6046, 12982, 107, 15885, 8384, 8706, 11269, 15664, 9085, 11778, 15851, 12225, 10860, 15662, 12506, 7143, 11081, 668, 11741, 16727, 6923, 3669, 9358, 1179, 14862, 2552, 13462, 7105, 10697, 3024, 13712, 7477, 17124, 1633, 3413, 14610, 9982, 16807, 10857, 7623, 586, 683, 15708, 9188, 1872, 17375, 12100, 450, 10861, 368, 15142, 7237, 503, 3087, 14795, 4894, 11546, 10076, 8923, 9320, 15474]",6
21,1 7044245522 Tel Ex 1 704424 56,21,"[16902, 2495, 17355, 11546, 13539, 9982, 15808, 11621, 3319, 15715, 15105, 4874, 11274, 8093, 15786, 10214, 3896, 8857, 14847, 15666, 17085, 15772, 586, 16431, 3008, 15966, 7765, 15347, 11469, 3009, 7452, 1016, 16269, 11473, 11416, 1434, 14636, 3404, 8573, 10876, 11079, 16161, 3482, 374, 3048, 1414, 6096, 17157, 16083, 10221, 10107, 13944, 6165, 3233, 13571, 13136, 14591, 14378, 8022, 5031, 13057, 14213, 4798, 3902, 10856, 7587, 6855, 3937, 10610, 9477, 12447, 1884, 16627, 2572, 10861, 11058, 9068, 2912, 4839, 8842, 7212, 15649, 1965, 3513, 14595, 11081, 17093, 3086, 17471, 8894, 13006, 2094, 14549, 13686, 16961, 15052, 7544, 5851, 8843, 17163, 3088, 8840, 8285, 15617, 662, 6605, 15660, 14640, 15142, 11835, 971, 1645, 1011, 16132, 3402]",6
