,names_all,name_index,match,Cluster
0, Alfagomma,0,[143],0
1, CONTITECH TRANSPORTBANDSYSTEME GMBH,1,[3294],1
2, LANXESS Inc.,2,[],2
3, Lanxess AG,3,[],3
4, Lanxess Accounting GmbH,4,[],4
5," Lanxess Chemical (China) Co., Ltd.",5,[],5
6, Lanxess Hong Kong Limited,6,[],6
7," Lanxess International Trading (Shanghai) Co., Ltd.",7,[],7
8, Lanxess Manufacturing Netherlands B.V.,8,[],8
9, Lanxess Sas,9,[],9
10, SO.F.TER. SPA,10,[14657],10
11," TOTAL OIL INDIA PRIVATE LIMITED,  TOTAL",11,[16136],11
12,"'Hengshui Mechanical & Electrical Building Co.,Ltd.'",12,[],12
13,(Camso Loadstar ( Pivt ) Ltd.),13,[],13
14,"*** ООО ""ИНТЕРСВЕТ""",14,[],14
15,"*** ООО ""ИнтерТорг""",15,[],15
16,"*** ООО ""ИнтерТулз""",16,[],16
17,"*** ООО ""Интербалк""",17,[],17
18,"*** ООО ""САТО""",18,[],18
19,"*** ПОЛИМАРКЕТ, ООО",19,[17926],19
20,1 4103412224 Tel Ex 1 410341 23,20,[],20
21,1 7044245522 Tel Ex 1 704424 56,21,[],21
22,1 8168912400 Tel Ex 1 816891 76,22,[],22
23,1 Dhl Global Forwarding,23,[],23
24,1 St Notify Party,24,[],24
25,1 St World Medical Supplies Solution Inc.,25,[],25
26,10841 Ambassador Drive,26,[],26
27,123 E Latin America S De Rl De Cv,27,[],27
28,128 Yeouidaero Youngdeungpo Gu,28,[],28
29,14 Th Fl. Guomao Building Hubin,29,[],29
30,2 Nd Bulkhaul (Usa) Inc.,30,[],30
31,2 Nd Norify Party Goodyear Canada Inc.,31,[],31
32,2 Wedmore Close,32,[],32
33,21 St Century Textiles Ltd.,33,[],33
34,210 Brands Inc.,34,[],34
35,210 Brands Inc. Dba Canterbury Usa,35,[],35
36,210 Brands Inc./Canterbury Offi,36,[],36
37,2K Polymer Systems Ltd ,37,[],37
38,3 A Pakistan,38,[],38
39,3 Ds Traders,39,[],39
40,3 K Treads (Pvt) Ltd.,40,[],40
41,3 M Brockville Tape,41,[],41
42,3 M Do Brasil Ltda,42,[],42
43,3 M India Ltd.,43,[],43
44,3 M Manaus Industria De Produtos Quimicos Ltda,44,[],44
45,3 M United Kingdom Plc 3 M Center,45,[],45
46,3 Pl Guys,46,[],46
47,3 Plus Logistics (Atlanta),47,[],47
48,3 Plus Logistics Co.,48,[],48
49,3 Rd Floor Gate 4 Nanpu Building Tia,49,[],49
50,3 S Fabrications (Pvt) Ltd.,50,[],50
51,31 Mcu Movement Control Unit,51,[],51
52,3475 Piedmont Rd. Ne Suite 1200,52,[],52
53,360 Athletics,53,[],53
54,365 Incorprated,54,[],54
55,3702960 Dxl,55,[],55
56,3M Company (NYSE:MMM),56,[],56
57,3M Deutschland GmbH,57,[],57
58,3M Europe,58,[],58
59,4 D Ag World,59,[],59
60,4 Fleet Group GmbH,60,[],60
61,4 States Trucks Inc.,61,[],61
62,4 Stroke Energies,62,[],62
63,"511 Foodservice Co., Ltd.",63,[],63
64,555 North Point Center East Ste,64,[],64
65,7 Cargo Corp. 6000,65,[],65
66,8220 Charles Page Blvd Sand Springs,66,[],66
67,: Precious Cargo Nig Ltd.,67,[],67
68,: Rupahali Bd,68,[],68
69,A & A Chapple Sole Manufactures,69,[],69
70,A & A International,70,[],70
71,A & A International Trading Private Ltd.,71,[],71
72,A & D International Trading Dmcc,72,[],72
73,A & P Solutions S.A. De C.V.,73,[],73
74,A B M International,74,[],74
75,A B Sellos Y Banca Ltda,75,[],75
76,A Bu Weber Algeria Sarl,76,[],76
77,A C E D Limitada,77,[],77
78,A C P Test Co. Inc.,78,[],78
79,A Cme Bag Co.,79,[],79
80,A F Traders,80,[],80
81,A G Pieco Distribution Corp,81,[],81
82,A J Enterprises,82,[],82
83,A J Industries L L C,83,[],83
84,A K H Construction & Trading Corp,84,[],84
85,"A K Khan Penfabric Co., Ltd.",85,[],85
86,A K T,86,[],86
87,A N Deringer Inc.,87,[],87
88,A One Techniques (Pvt) Ltd.,88,[],88
89,A R Imp. & Exp.,89,[],89
90,A R Resin,90,[],90
91,A S I Enterprise,91,[],91
92,A S International,92,[],92
93,A Shipping,93,[],93
94,A T C Tecnoval Sociedad Anonima,94,[],94
