,implementation,preprocess,mean_type,distance,threshold,f1,accuracy
163,USE,lower_clean,median,l1,11.8766890631782,0.647272727272727,0.946141032759578
162,USE,lower_clean,median,l1,11.5373550899445,0.646189735614308,0.949472515269295
102,USE,lower_clean,mean,l2,0.685978468724699,0.644645340751043,0.943253747917824
164,USE,lower_clean,median,l1,12.2160230364118,0.642094385118843,0.942309827873403
101,USE,lower_clean,mean,l2,0.66792640375826,0.641579731743666,0.94658523042754
103,USE,lower_clean,mean,l2,0.704030533691138,0.639222042139384,0.938200999444753
100,USE,lower_clean,mean,l2,0.64987433879182,0.635312873654843,0.949194891726818
165,USE,lower_clean,median,l1,12.5553570096455,0.630833601544899,0.936313159355913
161,USE,lower_clean,median,l1,11.1980211167108,0.628500823723229,0.949916712937257
104,USE,lower_clean,mean,l2,0.722082598657578,0.627781118460613,0.931260410882843
229,USE,lower_clean,median,l2,0.676805422280094,0.626181818181818,0.942920599666852
356,USE,lower,mean,l2,0.65722808759053,0.624907338769459,0.943808995002776
166,USE,lower_clean,median,l1,12.8946909828792,0.624628197501487,0.929927817878956
230,USE,lower_clean,median,l2,0.695097460720097,0.624147339699864,0.938811771238201
228,USE,lower_clean,median,l2,0.658513383840092,0.622598001537279,0.945474736257635
37,USE,lower_clean,mean,l1,12.3755498916384,0.622576177285318,0.939478067740144
357,USE,lower,mean,l2,0.675484423356933,0.622435020519836,0.93870072182121
36,USE,lower_clean,mean,l1,12.0410755702427,0.622388059701493,0.943808995002776
160,USE,lower_clean,median,l1,10.8586871434772,0.621459227467811,0.951027207107163
418,USE,lower,median,l1,11.5967719668434,0.621452266863251,0.942976124375347
674,USE,none,median,l1,11.5368239387633,0.620870870870871,0.943920044419767
99,USE,lower_clean,mean,l2,0.631822273825381,0.620514985225834,0.950083287062743
35,USE,lower_clean,mean,l1,11.7066012488471,0.620359281437126,0.947196002220988
419,USE,lower,median,l1,11.9378534952799,0.619814878299623,0.938423098278734
675,USE,none,median,l1,11.8761422899034,0.619179986101459,0.939144919489173
417,USE,lower,median,l1,11.2556904384068,0.618540433925049,0.946307606885064
