,implementation,mean_type,distance,threshold,f1,accuracy
0,USE,mean,l1,0.0,0.045261669024045256,0.9250416435313714
1,USE,mean,l1,0.01847099476114949,0.045261669024045256,0.9250416435313714
2,USE,mean,l1,0.03694198952229898,0.045261669024045256,0.9250416435313714
3,USE,mean,l1,0.05541298428344847,0.045261669024045256,0.9250416435313714
4,USE,mean,l1,0.07388397904459797,0.045261669024045256,0.9250416435313714
5,USE,mean,l1,0.09235497380574746,0.045261669024045256,0.9250416435313714
6,USE,mean,l1,0.11082596856689694,0.045261669024045256,0.9250416435313714
7,USE,mean,l1,0.12929696332804644,0.04802259887005649,0.925152692948362
8,USE,mean,l1,0.14776795808919593,0.04802259887005649,0.925152692948362
9,USE,mean,l1,0.16623895285034543,0.04802259887005649,0.925152692948362
10,USE,mean,l1,0.18470994761149492,0.04802259887005649,0.925152692948362
11,USE,mean,l1,0.20318094237264442,0.04936530324400564,0.925152692948362
12,USE,mean,l1,0.22165193713379389,0.05758426966292135,0.9254858411993337
13,USE,mean,l1,0.24012293189494338,0.06438068579426172,0.9257634647418101
14,USE,mean,l1,0.2585939266560929,0.07505211952744961,0.9260966129927818
15,USE,mean,l1,0.27706492141724237,0.08701657458563535,0.9265963353692394
16,USE,mean,l1,0.29553591617839187,0.10403832991101986,0.927318156579678
17,USE,mean,l1,0.31400691093954136,0.12567567567567564,0.9281510272071072
18,USE,mean,l1,0.33247790570069086,0.14819759679572764,0.9291504719600222
19,USE,mean,l1,0.35094890046184035,0.16688567674113008,0.9295946696279844
20,USE,mean,l1,0.36941989522298985,0.19201030927835053,0.9303720155469184
21,USE,mean,l1,0.38789088998413934,0.22698612862547288,0.9319267073847862
22,USE,mean,l1,0.40636188474528884,0.2517048977061377,0.9329816768461966
23,USE,mean,l1,0.42483287950643833,0.2858873410054512,0.9345363686840644
24,USE,mean,l1,0.44330387426758777,0.31353919239904987,0.9358134369794558
25,USE,mean,l1,0.46177486902873727,0.34109429569266586,0.9371460299833426
26,USE,mean,l1,0.48024586378988676,0.37620396600566575,0.9388672959466963
27,USE,mean,l1,0.49871685855103626,0.3971078976640712,0.9398112159911161
28,USE,mean,l1,0.5171878533121858,0.42601626016260163,0.9411993337034981
29,USE,mean,l1,0.5356588480733353,0.46048472075869334,0.9431426985008329
30,USE,mean,l1,0.5541298428344847,0.49618708693441793,0.9449750138811771
31,USE,mean,l1,0.5726008375956343,0.5315227934044617,0.9463631315935591
32,USE,mean,l1,0.5910718323567837,0.5573618207152811,0.9470849528039977
33,USE,mean,l1,0.6095428271179332,0.5724350506384852,0.9460855080510827
34,USE,mean,l1,0.6280138218790827,0.5930862140774678,0.9457523598001111
35,USE,mean,l1,0.6464848166402322,0.610011641443539,0.9441976679622432
36,USE,mean,l1,0.6649558114013817,0.6125223613595706,0.9398667406996113
37,USE,mean,l1,0.6834268061625312,0.6125122830003275,0.9343142698500833
38,USE,mean,l1,0.7018978009236807,0.5880959431448032,0.922765130483065
39,USE,mean,l1,0.7203687956848301,0.5666576892001077,0.9106607440310939
40,USE,mean,l1,0.7388397904459797,0.5303216302479745,0.8937812326485286
41,USE,mean,l1,0.7573107852071291,0.48753825972890247,0.8698500832870627
42,USE,mean,l1,0.7757817799682787,0.4436178543461238,0.8421987784564131
43,USE,mean,l1,0.7942527747294281,0.4029824865614704,0.8088284286507496
44,USE,mean,l1,0.8127237694905777,0.35492111194590537,0.7616324264297613
45,USE,mean,l1,0.8311947642517271,0.3113538821693328,0.7059966685174903
46,USE,mean,l1,0.8496657590128767,0.2742520398912057,0.6444197667962244
47,USE,mean,l1,0.8681367537740261,0.2431325541903906,0.5792892837312604
48,USE,mean,l1,0.8866077485351755,0.21737970292626524,0.5114380899500277
49,USE,mean,l1,0.9050787432963251,0.19593079141300865,0.44264297612437536
